time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656334520,aad319,43.364959716796875,-79.75294955941132,173.33098716659944,184.25523796199923,21.45792,N797M   ,False,False,False,,4091.94,4061.46,1656334518.413,1656334519.771
1656334520,c1e935,43.66220506571107,-79.62660108293807,,,,MTC262  ,True,False,False,,,,1656334480.057,1656334480.057
1656334520,c1e84c,43.665069580078125,-79.61397570233012,,,,EL54    ,True,False,False,,,,1656334474.444,1656334500.32
1656334520,c1e847,43.698394775390625,-79.64749358421147,,,,BMN74   ,True,False,False,,,,1656334466.188,1656334466.188
1656334520,c1e865,43.677852630615234,-79.62989629701127,,,,SAF208  ,True,False,False,,,,1656334352.431,1656334352.431
1656334520,c02708,43.64007568359375,-79.4397753338481,73.25364638269917,79.47921568612564,-0.97536,CFOUH   ,False,False,False,4754,571.5,556.26,1656334519.953,1656334519.975
1656334520,c07a63,43.678104400634766,-79.6036760197129,,,,JZA815  ,True,False,False,,,,1656334495.833,1656334495.833
1656334520,c059df,43.68921700170485,-79.64834485735211,53.50464923129683,226.94808500651493,-0.32512,CGIAW   ,True,False,False,3126,144.78,,1656334448.78,1656334494.289
1656334520,c1e86b,43.68034744262695,-79.61662647336028,,,,MTC547  ,True,False,False,,,,1656334456.153,1656334456.153
1656334520,a21760,43.2513427734375,-79.4397753338481,82.98031154955041,193.26085920418484,0.0,N234AD  ,False,False,False,0574,1805.94,1813.56,1656334519.68,1656334519.99
1656334520,c013e1,43.2813720703125,-79.97139864189677,123.79408363386845,35.86982351772131,0.0,ADSBFHNS,False,False,False,4772,1798.3200000000002,1821.18,1656334519.899,1656334519.975
1656334520,c1e87d,43.6796970690711,-79.66905866350447,,,,TRCK264 ,True,False,False,,,,1656334489.197,1656334489.197
1656334520,c060b5,43.5218267925715,-79.37059674944197,127.6868247624761,97.64040676102675,10.40384,POE459  ,False,False,False,6354,1485.9,1485.9,1656334519.99,1656334519.99
1656334520,a6f280,43.67716598510742,-79.60330874420873,52.77754183036948,226.97493401088195,0.0,LXJ547  ,True,False,False,0522,,,1656334516.18,1656334519.772
1656334520,c0388a,43.98472595214844,-79.12200218023253,74.6103437952582,291.43460412941806,0.0,CFVKR   ,False,False,False,0525,1203.96,1188.72,1656334519.693,1656334519.975
1656334520,c1e7e7,43.667046498444115,-79.62300436837333,,,,MTC25   ,True,False,False,,,,1656334516.36,1656334516.36
1656334520,c030bb,43.685004024182334,-79.63768550327848,53.12988746802101,226.56935480474897,-0.65024,ACA985  ,True,False,False,3526,144.78,,1656334512.084,1656334519.865
1656334520,c067e7,43.67015386031846,-79.6157455444336,49.86923656916147,227.0901591537107,0.0,JZA792  ,True,False,False,1711,137.16,,1656334508.298,1656334519.975
1656334520,c1e84e,43.67793273925781,-79.6301038875136,,,,EL53    ,True,False,False,,,,1656334230.997,1656334230.997
1656334520,c1e92b,43.66227722167969,-79.62667065997454,,,,LDR137  ,True,False,False,,,,1656334476.123,1656334476.123
1656334520,c06a9f,43.41632080078125,-80.00141942223837,58.031928330494075,245.9343684194427,3.2512000000000003,CGOJU   ,False,False,False,5502,731.52,746.76,1656334519.419,1656334519.975
1656334520,c1e89b,43.68259048461914,-79.62224738542425,,,,SAF210  ,True,False,False,,,,1656334396.321,1656334396.321
1656334520,c07a7c,43.677893169855665,-79.60224151611328,,,,JZA551  ,True,False,False,6341,144.78,,1656334512.885,1656334515.232
1656334520,a0cb44,43.68921661376953,-79.65118230775346,,,,N150MB  ,True,False,False,,,,1656334515.229,1656334517.221
1656334520,ac06f1,43.675209045410156,-79.62667065997454,,,,N874TX  ,True,False,False,1477,144.78,,1656334517.082,1656334517.084
1656334520,c06360,43.63070083876787,-79.39489092145647,55.476530390990966,251.0609957397599,-2.9260800000000002,POE682  ,True,False,False,5572,,,1656334291.27,1656334291.27
1656334530,c07a7c,43.678585052490234,-79.6012488076853,,,,JZA551  ,True,False,False,6341,,,1656334524.348,1656334524.348
1656334530,ac06f1,43.67513494976496,-79.62696075439453,,,,N874TX  ,True,True,False,1477,,,1656334529.995,1656334529.995
1656334530,c06a9f,43.414104914261124,-80.0079345703125,56.84315217439498,244.82647547546986,3.90144,CGOJU   ,False,False,False,5502,769.62,784.86,1656334529.583,1656334529.994
1656334530,a0cb44,43.68921700170485,-79.65118953159879,,,,N150MB  ,True,False,False,,,,1656334529.934,1656334529.934
1656334530,c06360,43.63070083876787,-79.39489092145647,55.476530390990966,251.0609957397599,-2.9260800000000002,POE682  ,True,False,False,5572,,,1656334291.27,1656334291.27
1656334530,c1e89b,43.68259048461914,-79.62224738542425,,,,SAF210  ,True,False,False,,,,1656334396.321,1656334396.321
1656334530,c04af4,43.67721176147461,-79.59674569063407,,,,JZA953  ,True,False,False,6313,,,1656334528.083,1656334528.083
1656334530,c030ef,43.65100925251589,-79.63178362165178,90.24057512291641,223.6140821491878,12.679680000000001,ACA1250 ,False,False,False,2210,373.38,358.14,1656334529.855,1656334529.973
1656334530,acb46d,43.93954002251059,-80.3070504324777,210.96281515626265,300.31678024760396,0.0,ASA7    ,False,False,False,3074,10363.2,10645.140000000001,1656334529.773,1656334529.995
1656334530,c00cfe,43.8284912109375,-79.94086686954938,56.80589324229703,308.0115102700165,3.2512000000000003,MAL8084 ,False,False,False,5526,2171.7000000000003,2171.7000000000003,1656334529.683,1656334529.821
1656334530,c0653f,43.67534443483514,-79.59771292550221,,,,ACA165  ,True,False,False,0567,,,1656334529.826,1656334529.826
1656334530,c1e945,43.670689211053364,-79.59993634905133,,,,MTC565  ,True,False,False,,,,1656334258.929,1656334258.929
1656334530,c060b1,43.62887191772461,-79.40014151639718,51.57028475961389,251.38430799266894,1.30048,POE510  ,True,False,False,4526,,,1656334300.753,1656334511.607
1656334530,c067ae,43.678859128790386,-79.61747850690568,51.675381256283345,226.6135389328812,-0.32512,ACA     ,True,False,False,3117,,,1656334503.5,1656334503.5
1656334530,a6b008,42.922233969478285,-79.70868791852678,94.68565078516986,250.9743939624313,0.0,N53W    ,False,False,False,0453,3025.1400000000003,3070.86,1656334529.582,1656334529.82
1656334530,c07d20,43.63023376464844,-79.40033313839935,55.963373854650904,251.2319399331566,0.32512,JZA7953 ,True,False,False,0645,,,1656334512.983,1656334519.374
1656334530,a00e0e,43.126922607421875,-78.96327528842659,84.43309701199188,59.215853473673555,5.52704,N102VS  ,False,False,False,7037,518.1600000000001,495.30000000000007,1656334529.232,1656334529.493
1656334530,c05f0a,43.68500518798828,-79.64830797772072,52.77754183036948,226.97493401088195,0.0,JZA689  ,True,False,False,1401,144.78,,1656334529.744,1656334529.933
1656334530,c05bd2,43.677334543001855,-79.6094185965402,,,,ACA930  ,True,False,False,,,,1656334529.448,1656334529.448
1656334530,a34729,43.50164794921875,-79.7290606831395,144.88883962654197,183.86820403832172,6.1772800000000005,DAL2188 ,False,False,False,0566,2072.6400000000003,2080.26,1656334529.682,1656334529.994
1656334530,c01c7c,43.50856018066406,-80.45390284338663,50.22881158810637,327.1237382477894,3.5763200000000004,CFKUL   ,False,False,False,5347,929.6400000000001,929.6400000000001,1656334529.973,1656334529.973
1656334530,c064d8,43.675076759467686,-79.6100071498326,,,,ACA991  ,True,False,False,0506,144.78,,1656334525.18,1656334529.821
1656334530,c066dd,43.680290610103285,-79.61720057896206,,,,ACA176  ,True,False,False,2152,,,1656334080.94,1656334499.306
1656334530,c1e863,43.67068862915039,-79.66839635094931,,,,MTC66   ,True,False,False,,,,1656334258.459,1656334258.459
1656334530,010154,43.6768684387207,-79.61418329283248,46.938610307051064,226.33221985386965,-0.32512,        ,True,False,False,0706,,,1656334524.57,1656334529.826
1656334530,c041b9,42.928146103681144,-79.6649387904576,184.5484945576957,166.62229970963716,6.502400000000001,SWG438  ,False,False,False,0563,5951.22,6111.240000000001,1656334529.973,1656334530.0
1656334530,c1e847,43.698394775390625,-79.64749358421147,,,,BMN74   ,True,False,False,,,,1656334466.188,1656334466.188
1656334530,c059df,43.68921700170485,-79.64834485735211,53.50464923129683,226.94808500651493,-0.32512,CGIAW   ,True,False,False,3126,144.78,,1656334448.78,1656334494.289
1656334530,c1e865,43.67795136015294,-79.62975638253349,,,,SAF208  ,True,False,False,,,,1656334524.476,1656334524.476
1656334530,c07a63,43.67804446462857,-79.60359845842633,,,,JZA815  ,True,False,False,,,,1656334527.439,1656334527.439
1656334530,c1e935,43.66220506571107,-79.62660108293807,,,,MTC262  ,True,False,False,,,,1656334480.057,1656334480.057
1656334530,c02708,43.64118673033633,-79.43082536969865,74.00308679177678,80.79959953092965,0.0,CFOUH   ,False,False,False,4754,563.88,548.64,1656334529.994,1656334529.994
1656334530,c0797b,43.6794319152832,-79.6135445528252,,,,ACA1200 ,True,False,False,2270,,,1656334529.448,1656334529.448
1656334530,aad319,43.34852600097656,-79.75461028343022,173.33098716659944,184.25523796199923,20.15744,N797M   ,False,False,False,,4312.92,4419.6,1656334529.011,1656334529.643
1656334530,c1e84c,43.665069580078125,-79.61397570233012,,,,EL54    ,True,False,False,,,,1656334474.444,1656334500.32
1656334530,c1e92b,43.66227722167969,-79.62667065997454,,,,LDR137  ,True,False,False,,,,1656334476.123,1656334476.123
1656334530,c013e1,43.2903225139036,-79.96255057198664,124.51245325182089,35.92294619907056,0.32512,ADSBFHNS,False,False,False,4772,1798.3200000000002,1821.18,1656334529.994,1656334529.994
1656334530,a21760,43.244142693988344,-79.442138671875,82.98031154955041,193.26085920418484,0.0,N234AD  ,False,False,False,0574,1805.94,1813.56,1656334529.637,1656334529.966
1656334530,c1e84e,43.67793273925781,-79.6301038875136,,,,EL53    ,True,False,False,,,,1656334230.997,1656334230.997
1656334530,c1e7e7,43.667046498444115,-79.62300436837333,,,,MTC25   ,True,False,False,,,,1656334526.148,1656334526.148
1656334530,c060b5,43.52247619628906,-79.35514228288514,126.83418333411447,77.82408748220024,12.029440000000001,POE459  ,False,False,False,6354,1600.2,1600.2,1656334529.994,1656334529.994
1656334530,c067e7,43.670528411865234,-79.61530108784518,49.86923656916147,227.0901591537107,0.0,JZA792  ,True,False,False,1711,,,1656334520.304,1656334529.934
1656334530,c0388a,43.98719787597656,-79.13081679233284,73.8831856957937,289.94902218355713,0.32512,CFVKR   ,False,False,False,0525,1203.96,1188.72,1656334529.821,1656334529.987
1656334530,c1e87d,43.6796970690711,-79.66905866350447,,,,TRCK264 ,True,False,False,,,,1656334489.197,1656334489.197
1656334530,a6f280,43.677869893736755,-79.60229056222096,52.77754183036948,226.97493401088195,0.0,LXJ547  ,True,False,False,0522,137.16,,1656334526.381,1656334529.973
1656334530,c030bb,43.684993743896484,-79.63768892509995,53.12988746802101,226.56935480474897,-0.65024,ACA985  ,True,False,False,3526,,,1656334527.104,1656334529.821
1656334530,c1e86b,43.68034744262695,-79.61662647336028,,,,MTC547  ,True,False,False,,,,1656334456.153,1656334456.153
1656334540,c1e92b,43.66227722167969,-79.62667065997454,,,,LDR137  ,True,False,False,,,,1656334476.123,1656334476.123
1656334540,a6f280,43.6785216250662,-79.60134233747209,52.77754183036948,226.97493401088195,0.0,LXJ547  ,True,False,False,0522,137.16,,1656334536.517,1656334539.806
1656334540,c1e7e7,43.667046498444115,-79.62300436837333,,,,MTC25   ,True,False,False,,,,1656334535.863,1656334535.863
1656334540,c067e7,43.670945248361356,-79.61474827357699,49.86923656916147,227.0901591537107,0.0,JZA792  ,True,False,False,1711,137.16,,1656334530.589,1656334539.729
1656334540,c060b5,43.52694753873146,-79.34058053152904,124.22730823043068,58.547938988000496,11.3792,POE459  ,False,False,False,6354,1722.1200000000001,1729.74,1656334539.93,1656334539.951
1656334540,c1e87d,43.6796970690711,-79.66905866350447,,,,TRCK264 ,True,False,False,,,,1656334489.197,1656334489.197
1656334540,c0388a,43.98888539459745,-79.13981846400668,73.76667748831647,282.48546749085716,-0.32512,CFVKR   ,False,False,False,0525,1203.96,1188.72,1656334539.912,1656334539.929
1656334540,c013e1,43.29977261818061,-79.95306832449779,125.83809205373159,36.35457746574639,-0.32512,ADSBFHNS,False,False,False,4772,1798.3200000000002,1821.18,1656334539.95,1656334539.95
1656334540,c1e86b,43.68034744262695,-79.61662647336028,,,,MTC547  ,True,False,False,,,,1656334456.153,1656334456.153
1656334540,c030bb,43.685004024182334,-79.63768550327848,53.12988746802101,226.56935480474897,-0.65024,ACA985  ,True,False,False,3526,144.78,,1656334537.184,1656334539.672
1656334540,a21760,43.23683399265095,-79.4445582798549,83.09982582440018,193.6061030542493,0.32512,N234AD  ,False,False,False,0574,1805.94,1813.56,1656334539.804,1656334539.994
1656334540,c060b1,43.62887191772461,-79.40014151639718,51.57028475961389,251.38430799266894,1.30048,POE510  ,True,False,False,4526,,,1656334300.753,1656334511.607
1656334540,c030ef,43.645111083984375,-79.63938158611916,92.1199574101391,222.51044707800085,11.704320000000001,ACA1250 ,False,False,False,2210,502.92,487.68,1656334539.672,1656334539.979
1656334540,c04af4,43.67712505793167,-79.59679739815846,,,,JZA953  ,True,False,False,6313,,,1656334534.22,1656334534.22
